transaction_id,branch_id,product_id,product_name,category,price,quantity,total_amount,date,time
T000001,B004,P008,Head & Shoulders Shampoo 400ml,Personal Care,1236.76,1,1236.76,2024-10-07,21:37:30
T000002,B002,P004,Chicken Meat 1kg,Meat,1217.58,4,4870.32,2024-02-12,13:52:03
T000003,B003,P007,Sunlight Soap Bar,Personal Care,143.23,7,1002.61,2024-03-01,08:21:11
T000004,B004,P019,Koththu Mix,Ready Meals,482.42,4,1929.68,2024-08-28,09:41:12
T000005,B005,P020,Curry Powder 100g,Spices,209.26,1,209.26,2025-02-08,09:43:54
T000006,B001,P006,Tomatoes 1kg,Vegetables,312.18,3,936.54,2025-03-28,11:13:17
T000007,B005,P014,Anchor Cheese 200g,Dairy,864.9,3,2594.7,2024-12-08,19:58:29
T000008,B004,P019,Koththu Mix,Ready Meals,516.1,1,516.1,2024-07-19,08:57:39
T000009,B002,P019,Koththu Mix,Ready Meals,479.74,1,479.74,2024-07-26,10:53:44
T000010,B005,P003,Fresh Milk 1L,Dairy,435.59,3,1306.77,2024-01-01,11:11:44
T000011,B002,P019,Koththu Mix,Ready Meals,520.5,2,1041.0,2024-02-14,11:06:11
T000012,B001,P017,Red Onions 500g,Vegetables,154.64,4,618.56,2024-07-01,11:17:29
T000013,B001,P019,Koththu Mix,Ready Meals,520.55,4,2082.2,2025-04-27,08:10:38
T000014,B004,P002,White Bread Loaf,Bakery,245.47,2,490.94,2024-03-29,20:38:36
T000015,B002,P020,Curry Powder 100g,Spices,207.92,1,207.92,2024-05-22,08:23:21
T000016,B004,P006,Tomatoes 1kg,Vegetables,307.2,1,307.2,2024-12-25,08:06:28
T000017,B005,P022,Munchee Biscuits 125g,Snacks,125.37,1,125.37,2024-04-27,13:07:47
T000018,B004,P023,Samaposha 200g,Breakfast Cereals,292.44,4,1169.76,2025-03-28,21:59:14
T000019,B005,P019,Koththu Mix,Ready Meals,480.86,2,961.72,2024-02-01,11:26:22
T000020,B004,P022,Munchee Biscuits 125g,Snacks,116.95,3,350.85,2024-07-18,10:32:24
T000021,B003,P001,Keeri Samba Rice 5kg,Grains,1460.08,5,7300.4,2024-06-09,20:45:52
T000022,B002,P008,Head & Shoulders Shampoo 400ml,Personal Care,1214.05,1,1214.05,2024-03-22,19:31:12
T000023,B001,P022,Munchee Biscuits 125g,Snacks,121.51,1,121.51,2025-03-31,16:55:07
T000024,B004,P015,Thalapath Fish 1kg,Seafood,1713.02,1,1713.02,2024-02-06,09:09:00
T000025,B005,P018,Eggs (Brown) 6 pack,Dairy & Eggs,307.53,1,307.53,2025-05-11,14:56:59
T000026,B004,P008,Head & Shoulders Shampoo 400ml,Personal Care,1192.54,1,1192.54,2024-01-31,12:28:22
T000027,B004,P024,Canned Fish 425g,Canned Goods,577.09,3,1731.27,2025-05-18,08:04:37
T000028,B001,P007,Sunlight Soap Bar,Personal Care,148.08,2,296.16,2025-05-10,20:31:33
T000029,B003,P025,Sausages 250g,Processed Meat,739.9,3,2219.7,2024-03-17,11:07:54
T000030,B003,P013,Prima Pasta 500g,Pasta & Noodles,398.83,2,797.66,2024-10-25,09:39:43
T000031,B001,P009,Coconut Oil 1L,Cooking Oil,766.43,1,766.43,2025-05-02,19:16:37
T000032,B004,P020,Curry Powder 100g,Spices,194.29,3,582.87,2025-05-22,21:37:54
T000033,B005,P021,Coca-Cola 1.5L,Soft Drinks,352.37,2,704.74,2025-02-14,10:09:34
T000034,B004,P004,Chicken Meat 1kg,Meat,1168.03,1,1168.03,2024-10-09,15:31:32
T000035,B003,P020,Curry Powder 100g,Spices,206.4,3,619.2,2024-05-21,17:48:32
T000036,B002,P005,Local Apples 1kg,Fruits,583.07,1,583.07,2025-05-19,20:21:27
T000037,B005,P005,Local Apples 1kg,Fruits,584.38,3,1753.14,2025-02-11,17:02:08
T000038,B001,P021,Coca-Cola 1.5L,Soft Drinks,364.97,2,729.94,2024-02-05,09:59:53
T000039,B004,P024,Canned Fish 425g,Canned Goods,617.1,3,1851.3,2024-08-29,18:49:25
T000040,B005,P011,Dilmah Tea Bags 100ct,Beverages,702.51,1,702.51,2025-01-08,08:51:23
T000041,B004,P015,Thalapath Fish 1kg,Seafood,1738.09,1,1738.09,2024-07-16,10:14:16
T000042,B004,P010,Sugar 1kg,Staples,335.3,2,670.6,2024-01-12,20:30:08
T000043,B002,P005,Local Apples 1kg,Fruits,610.86,3,1832.58,2024-07-18,16:13:37
T000044,B005,P016,Dhal 500g,Pulses,411.16,2,822.32,2024-08-29,08:02:05
T000045,B001,P002,White Bread Loaf,Bakery,240.54,3,721.62,2025-04-12,19:51:04
T000046,B002,P021,Coca-Cola 1.5L,Soft Drinks,343.11,10,3431.1,2024-12-16,13:05:20
T000047,B005,P007,Sunlight Soap Bar,Personal Care,150.72,4,602.88,2024-01-05,13:46:44
T000048,B002,P020,Curry Powder 100g,Spices,197.3,1,197.3,2024-01-30,17:04:59
T000049,B001,P002,White Bread Loaf,Bakery,242.51,2,485.02,2024-04-05,20:26:14
T000050,B002,P003,Fresh Milk 1L,Dairy,440.19,3,1320.57,2025-01-22,15:18:30
T000051,B002,P003,Fresh Milk 1L,Dairy,449.7,2,899.4,2025-02-22,19:20:51
T000052,B001,P024,Canned Fish 425g,Canned Goods,605.28,5,3026.4,2024-10-29,12:42:57
T000053,B003,P025,Sausages 250g,Processed Meat,733.92,2,1467.84,2024-03-12,13:29:38
T000054,B001,P001,Keeri Samba Rice 5kg,Grains,1513.64,3,4540.92,2024-03-05,11:54:24
T000055,B005,P005,Local Apples 1kg,Fruits,597.97,3,1793.91,2025-01-06,11:56:04
T000056,B003,P021,Coca-Cola 1.5L,Soft Drinks,357.36,1,357.36,2024-04-27,17:48:39
T000057,B003,P004,Chicken Meat 1kg,Meat,1171.38,2,2342.76,2024-09-10,16:55:57
T000058,B003,P019,Koththu Mix,Ready Meals,523.63,1,523.63,2025-01-01,17:56:29
T000059,B004,P017,Red Onions 500g,Vegetables,151.6,1,151.6,2025-04-01,21:37:32
T000060,B002,P013,Prima Pasta 500g,Pasta & Noodles,414.48,3,1243.44,2024-08-30,14:36:49
T000061,B003,P024,Canned Fish 425g,Canned Goods,578.4,2,1156.8,2025-02-04,20:32:12
T000062,B005,P014,Anchor Cheese 200g,Dairy,894.58,1,894.58,2025-04-05,21:09:19
T000063,B001,P012,Nescafe Coffee 200g,Beverages,1501.5,1,1501.5,2024-06-24,18:21:49
T000064,B005,P014,Anchor Cheese 200g,Dairy,873.16,1,873.16,2024-03-24,14:45:13
T000065,B003,P009,Coconut Oil 1L,Cooking Oil,796.46,3,2389.38,2024-10-30,10:51:39
T000066,B005,P022,Munchee Biscuits 125g,Snacks,123.85,5,619.25,2024-09-03,20:10:20
T000067,B005,P013,Prima Pasta 500g,Pasta & Noodles,398.88,2,797.76,2024-03-27,20:04:22
T000068,B005,P020,Curry Powder 100g,Spices,191.23,2,382.46,2024-12-03,18:17:38
T000069,B002,P014,Anchor Cheese 200g,Dairy,899.06,1,899.06,2024-11-24,12:54:40
T000070,B002,P007,Sunlight Soap Bar,Personal Care,151.31,3,453.93,2024-12-04,17:08:37
T000071,B004,P014,Anchor Cheese 200g,Dairy,866.43,3,2599.29,2024-11-07,19:50:18
T000072,B001,P004,Chicken Meat 1kg,Meat,1185.46,1,1185.46,2025-02-25,19:34:20
T000073,B003,P013,Prima Pasta 500g,Pasta & Noodles,393.42,4,1573.68,2024-03-12,21:47:34
T000074,B003,P024,Canned Fish 425g,Canned Goods,602.42,1,602.42,2025-01-08,20:27:28
T000075,B002,P019,Koththu Mix,Ready Meals,522.39,1,522.39,2025-03-25,18:11:27
T000076,B005,P004,Chicken Meat 1kg,Meat,1227.4,4,4909.6,2024-01-15,17:58:13
T000077,B005,P024,Canned Fish 425g,Canned Goods,603.86,3,1811.58,2024-12-04,20:20:09
T000078,B003,P014,Anchor Cheese 200g,Dairy,938.76,3,2816.28,2024-01-24,12:44:33
T000079,B004,P004,Chicken Meat 1kg,Meat,1147.8,1,1147.8,2024-11-08,17:30:13
T000080,B001,P020,Curry Powder 100g,Spices,202.59,3,607.77,2024-06-08,13:59:13
T000081,B003,P009,Coconut Oil 1L,Cooking Oil,826.42,2,1652.84,2024-12-18,17:24:12
T000082,B002,P022,Munchee Biscuits 125g,Snacks,121.62,1,121.62,2024-08-07,13:23:11
T000083,B004,P023,Samaposha 200g,Breakfast Cereals,290.7,3,872.1,2024-10-18,19:17:41
T000084,B002,P022,Munchee Biscuits 125g,Snacks,118.22,2,236.44,2024-02-19,13:43:43
T000085,B002,P021,Coca-Cola 1.5L,Soft Drinks,340.03,6,2040.18,2025-04-15,08:46:04
T000086,B004,P011,Dilmah Tea Bags 100ct,Beverages,725.64,1,725.64,2024-10-11,19:14:38
T000087,B004,P001,Keeri Samba Rice 5kg,Grains,1568.06,2,3136.12,2024-08-08,18:08:51
T000088,B003,P014,Anchor Cheese 200g,Dairy,920.01,4,3680.04,2025-03-10,08:35:45
T000089,B001,P016,Dhal 500g,Pulses,389.23,1,389.23,2024-06-07,12:14:01
T000090,B002,P001,Keeri Samba Rice 5kg,Grains,1477.91,1,1477.91,2024-12-05,08:54:11
T000091,B005,P019,Koththu Mix,Ready Meals,492.84,4,1971.36,2024-01-23,17:25:46
T000092,B002,P007,Sunlight Soap Bar,Personal Care,145.1,1,145.1,2024-06-05,18:49:14
T000093,B001,P014,Anchor Cheese 200g,Dairy,894.73,2,1789.46,2024-03-03,19:04:20
T000094,B004,P016,Dhal 500g,Pulses,391.64,1,391.64,2024-07-08,09:23:50
T000095,B002,P015,Thalapath Fish 1kg,Seafood,1880.65,1,1880.65,2024-06-12,20:01:07
T000096,B004,P017,Red Onions 500g,Vegetables,146.89,1,146.89,2024-03-01,12:32:50
T000097,B001,P021,Coca-Cola 1.5L,Soft Drinks,332.97,1,332.97,2024-12-12,21:39:56
T000098,B003,P003,Fresh Milk 1L,Dairy,441.47,3,1324.41,2024-01-08,12:33:34
T000099,B004,P022,Munchee Biscuits 125g,Snacks,115.68,4,462.72,2024-01-08,16:05:06
T000100,B002,P009,Coconut Oil 1L,Cooking Oil,825.4,5,4127.0,2024-04-27,19:07:50
T000101,B004,P007,Sunlight Soap Bar,Personal Care,151.89,2,303.78,2024-04-25,08:18:01
T000102,B005,P005,Local Apples 1kg,Fruits,616.98,2,1233.96,2024-12-03,11:26:52
T000103,B001,P001,Keeri Samba Rice 5kg,Grains,1502.75,4,6011.0,2024-10-30,21:11:36
T000104,B001,P013,Prima Pasta 500g,Pasta & Noodles,419.16,2,838.32,2024-10-01,08:59:26
T000105,B002,P017,Red Onions 500g,Vegetables,151.75,3,455.25,2025-05-31,17:14:51
T000106,B004,P006,Tomatoes 1kg,Vegetables,298.33,1,298.33,2024-04-11,15:19:00
T000107,B001,P002,White Bread Loaf,Bakery,248.81,1,248.81,2025-05-15,19:04:59
T000108,B001,P025,Sausages 250g,Processed Meat,718.97,3,2156.91,2024-11-29,12:00:31
T000109,B003,P025,Sausages 250g,Processed Meat,736.0,1,736.0,2025-05-06,15:55:00
T000110,B005,P017,Red Onions 500g,Vegetables,156.26,1,156.26,2024-01-23,20:17:54
T000111,B001,P007,Sunlight Soap Bar,Personal Care,146.16,2,292.32,2025-02-17,12:01:42
T000112,B003,P006,Tomatoes 1kg,Vegetables,300.7,1,300.7,2024-07-04,18:01:11
T000113,B005,P005,Local Apples 1kg,Fruits,611.96,3,1835.88,2024-02-25,18:11:25
T000114,B005,P022,Munchee Biscuits 125g,Snacks,123.8,1,123.8,2024-11-20,13:46:05
T000115,B004,P016,Dhal 500g,Pulses,413.93,1,413.93,2024-06-16,08:23:23
T000116,B005,P020,Curry Powder 100g,Spices,190.97,3,572.91,2024-01-06,17:17:17
T000117,B005,P020,Curry Powder 100g,Spices,198.4,1,198.4,2025-05-25,16:18:23
T000118,B003,P008,Head & Shoulders Shampoo 400ml,Personal Care,1191.3,2,2382.6,2024-10-05,09:21:02
